stdnt_id,schl_id,sample,grade,gender,poverty,race,minority,disabili,foodsecu,ses,kfall_ma,ksprng_m,g1fall_m,g1sprng_,g3Math,kfall_re,ksprng_r,g1fall_r,g1sprn_1,g3Read,schl_typ,s2kminor,pcnt_flu,pcnt_rlu,filter_$,racenew,passmath1,int
11179,1190,2,4,2,1,3,1,2,1.4, ,15.66,29.44, ,49.27,86.71, ,39.21, ,88.95,116.93, , , , , ,4,0,1
11190,1191,1,4,1,2,5,2,2, ,.93,22.83,39.95, ,60.75,105.08,25.03,49.26, ,96.44,116.73,1,5,0,0,1,5,1,1
11336,1210,2,4,1,2,1,1,2, ,.77,13.57,24.48, ,58.71,81.6,18.13,25.87, ,61.16,103.6,4,4,-9,-9,1,1,0,1
11340,1210,1,4,2,2,1,1,2, ,.57,21.45,39.93, ,70.39,78.55,26.44,46.72, ,78.73,102.98,4,4,-9,-9,1,1,0,1
11379,1212,1,4,1,2,2,2,2, ,1.56,30.47,38.06,44.46,64.99,108.64,39.58,63.07,66.17,82.64,121.37,3,3,-9,-9,1,2,1,1
11421,1215,2,4,1,1,3,1,1,3.4, ,11.23,15.76, ,47.51,57.7,15.42,19.79, ,34.72,101.96,4,5,79.52,7.94, ,4,0,1
11500,1220,1,4,2,2,3,1,2, ,1.09,19.64,34.33, ,63.63,91.57,23.99,41.73, ,94.61,118.61,1,5,0,0,1,4,0,1
11520,1221,2,4,2,2,1,1,2, ,.55,22.5,28.76, ,53.1,82.16,26.31,47.25, ,71.81,113.98,4,2,-9,-9,1,1,0,1
11550,1224,1,4,2,2,4,2,1, , ,16.73,25.33, ,50.3,99.36,23.74,34.46, ,71.26,114.49,4,5,46.51,23, ,4,0,1
11578,1229,1,4,1,2,3,1,2, ,1.26,18.73,38.46,66.13,79,105.3,30.65,41.98,42.57,60.11,128.6,4,3,-9,-9,1,4,1,1
11603,1236,2,4,2,2,1,1,2, ,.71,19.9,25.71, ,58.45,84.91,23.36,34.84, ,70.56,112.56,4,3,-9,-9,1,1,0,1
11609,1236,1,4,2,2,1,1,2, ,.36,19.58,35.79, ,55.73,63.67,22.82,35.35, ,68.94,115.76,4,3,-9,-9,1,1,0,1
11672,1245,2,4,2,2,4,2,2, , ,18.82,31.2, ,59.37,81.32,28.38,38, ,62.49,105.24,4,3,5.45,.85, ,4,0,1
11674,1245,1,4,1,2,1,1,1, ,.13,15.32,22.98, ,43.44,66.78,18.88,27.82, ,78.33,102.63,4,3,5.45,.85,1,1,0,1
11689,1247,2,4,1,2,4,2,2, , ,17.96,33.24, ,54.73,98.1, ,36.19, ,73.71,105.41, , , , , ,4,0,1
11692,1247,2,4,2,2,4,2,2, , ,13.15,20.6, ,39.09,68.76,22.46,40.15, ,60.76,103.05, , , , , ,4,0,1
11699,1247,2,4,1,2,4,2,2, , ,15.66,16.61, ,39.72,87.57, , , ,47.33,80.17, , , , , ,4,0,1
11712,1248,2,4,2,1,3,1,2,5.4, , ,43.18, ,86.56,107.41, ,45.56, ,77.03,114.8,4,3,-9,23, ,4,1,1
11714,1249,2,4,1,2,5,2,1, ,.99,21.65,35.24,43.27,54.64,95.64,25.19,56.24,79.84,95.28,124.81,4,2,35.05,11.77,1,5,0,1
11727,1249,2,4,1,2,1,1,2, , ,16.95,27.44,32.35,50.01,81.93,28.4,39.4,36.66,76.33,108.28,4,2,35.05,11.77, ,1,0,1
11737,1251,2,4,1,2,1,1,2, ,.2,27.45,41.66,59.76,84.61,115.21,28.62,46.09,49.88,77.8,114.73,4,3,-9,-9,1,1,1,1
11762,1252,1,4,1,2,1,1,2, ,.05,35.93,45.06, ,59.67,111.95,40.96,44.61, ,89.92,128.17,4,3,25.52,8.47,1,1,1,1
11804,1256,2,4,2,1,4,2,2, , ,14.9,26.47, ,39.89,65.23,26.05,41.15, ,67.27,104.79, , , , , ,4,0,1
5540,1258,1,4,1,2,1,1,2, ,.73, ,49.09, ,78.12,107.73, ,51.26, ,96.52,130.75, , , , ,1,1,1,1
11824,1262,1,4,2,1,3,1,1, , ,17.64, , ,72.64,81.21,31.05, , ,69.53,102.12,4,4,46.08,13.88, ,4,0,1
11844,1264,1,4,2,2,3,1,2,4.1, ,11.92,22.19, ,53.44,56.5,15.55,28.87, ,52.92,71.57,4,4,76.92,23, ,4,0,1
11888,1268,1,4,1,2,3,1,2, ,1.02,14.91,18.75, ,50.29,60.79,16.82,19.33, ,45.49,80.38,4,5,-9,-9,1,4,0,1
12005,1275,2,4,2,2,1,1,2, , ,17.16,26.47,33.05,56.88,98.43,21.52,29.6,28.51,51.45,89.39,4,4,29.31,9.97, ,1,0,1
12052,1277,1,4,2,1,4,2,2, , , , , , ,48.9, , , , ,65.75,4,4,32.95,13.31, ,4,0,1
12097,2001,1,4,1,2,1,1,2, ,.68,38.21,40.9, ,79.4,92.47,43.84,55.26, ,104.18,133.71,1,1,3.93,2.68,1,1,0,1
626,2007,2,4,2,2,1,1,2, ,1.66, ,41.69, ,70.07,98.26, ,111.66, ,135.81,142.63, , , , ,1,1,0,1
12206,2046,2,4,2,2,1,1,2, , ,28.87,41.03,47.17,68.72,104.61,34.85,46.49,74.2,117.69,122.28,2,1,0,0, ,1,1,1
12247,2067,2,4,2,2,1,1,2, ,.09,49.48,59.43, ,85.18,112.33,55.37,61.63, ,102.57,130.44, , , , ,1,1,1,1
12266,2078,1,4,1,2,1,1,1, , ,11.87,27.26,25.12,36.58,67.22,17.99,22.86,31.86,47.56,77.7,4,1,30.93,11.86, ,1,0,1
12269,2078,1,4,1,2,1,1,2, , ,24.43,30.2,38.11,76.99,107.36,24.93,39.49,39.52,62.03,120.08,4,1,30.93,11.86, ,1,1,1
12297,2092,2,4,2,2,1,1,2, ,2.06,23.91,39.39, ,55.6,82.93,35.76,51.59, ,80.05,105.9,1,-9,-9,-9,1,1,0,1
12331,2111,2,4,1,2,4,2,2, , ,19.19,23.09, ,46.28,66.21,25.82,31.16, ,52.32,84.1,4,4,38.12,2.87, ,4,0,1
12367,2114,2,4,2,2,1,1,1, ,1.45,21.54,35.12, ,64.92,91.14,33.23,41.57, ,67.53,95.03,4,1,-9,-9,1,1,0,1
12386,2116,2,4,1,2,1,1,2, , ,28.82,36.65,42.27,65.79,103.23,39.06,39.62,43.45,79.47,122.98,4,4,47.16,14.2, ,1,1,1
12486,2127,2,4,2,2,3,1,2, , ,23.24,22.2, ,46.07,84.11,25.13,29.63, ,37.92,125.1, , , , , ,4,0,1
12580,3002,1,4,2,1,4,2,2,4.1, ,11.39,18.28,18.1,37.45,92.95, , , ,51.32,106.37, , , , , ,4,0,1
12590,3005,2,4,2,2,1,1,2, ,1.4,34.41,45.15, ,72.9,97.55,38.43,45.14, ,83.63,123.85,4,2,1.25,.5,1,1,0,1
12660,3009,1,4,2,2,1,1,2,3.4, ,17.41,22.88, ,38.55,64.04,19.27,41, ,56.32,95.5, , , , , ,1,0,1
12668,3011,1,4,1,2,1,1,1, , ,35.28,33.62, ,57.24,94.88,33.59,39.31, ,88.37,114.91,4,1,5.99,2.3, ,1,0,1
12695,3013,2,4,1,2,1,1,1, , ,22.15,36.57, ,54.17,97.07,36.49,44.49, ,73.28,134.63,4,2,28.85,23, ,1,0,1
12728,3015,1,4,1,2,2,2,2, , ,23.84,36.58, ,61.81,105.72,25.31,41.15, ,70.4,122.11, , , , , ,2,1,1
12795,3021,2,4,1,2,3,2,2, , , , , ,70.52,77.29, , , ,60.96,73.27,4,3,63.01,19.69, ,4,0,1
12822,3023,1,4,1,2,1,1,2,1.4, ,22.58,30.96,44.71,51.03,75.98,19.33,35.26,49.89,49.46,96.39,4,-9,74.17,12.78, ,1,0,1
12870,3027,1,4,1,2,4,2,2, ,.29,20.1,28.58, ,50.28,104.13,23.58,35.81, ,92.8,124.96,4,2,15.53,10.03,1,4,1,1
12880,3028,2,4,1,2,1,1,2, ,1.85,30.08,41.37, ,75.27,94.28,23.94,44.87, ,73.46,114.12,4,1,.62,.62,1,1,0,1
12897,3029,2,4,2,1,1,1,1, , ,21.8,35.96, ,59.44,93.92,38.81,59.12, ,90.66,128.88,4,3,27.44,23, ,1,0,1
12906,3030,2,4,2,2,1,1,2, ,.24,31.43,47.64, ,72.95,103.12,47.51,84.24, ,114.28,134.12,4,2,25.68,5.26,1,1,1,1
12922,3031,1,4,1,2,1,1,2, , ,16.9,27.98, ,37.34,96.36,26.19,33.73, ,53.17,114.42,4,2,21.41,23, ,1,0,1
12950,3033,1,4,1,2,1,1,2, , ,44.74,55.63, ,73.1,96.08,36.8,39.26, ,81.08,115.1,4,2,18.35,9.17, ,1,0,1
13000,3038,2,4,2,2,1,1,2, ,.72,32.53, ,40.25,66.15,106.63,25.54, ,57.83,82.48,122.41,4,1,47.65,14.08,1,1,1,1
13002,3038,2,4,2,1,1,1,2, , ,14.99,26.96,33.97,52.54,80.76,20.75,30.4,37.94,77.46,103.76,4,1,47.65,14.08, ,1,0,1
13012,3040,2,4,2,2,1,1,2, , ,27.87, , ,77.47,95.36,35.61, , ,66.42,133.09,4,1,31.47,11.68, ,1,0,1
13088,3046,2,4,1,2,1,1,2, ,.12,21.34,32.78, ,61.68,87.6,28.4,39.21, ,76.5,116.65,4,1,13.55,.9,1,1,0,1
13127,3048,1,4,2,2,1,1,1, ,1.74,13.02,17.37,20.25,33.33,49.39,19.99,31.67,33.69,63.48,102.29,4,2,3.44,1.02,1,1,0,1
13142,3052,2,4,2,2,5,2,1, ,.81,43.18,43.73, ,63.75,104.98,81.35,82.67, ,118.06,134.9,4,3,-9,-9,1,5,1,1
13211,3063,2,4,2,2,1,1,2, ,.42,23.67,33.85, ,55.87,76.42,27.6,40.49, ,61.79,108.47,4,3,24.74,4.74,1,1,0,1
13260,3070,2,4,2,2,1,1,1,4.8, ,7.87,15.13, ,30.04,50.95,16.76,16.64, ,34.13,74.89,4,1,30.04,13, ,1,0,1
13272,3070,1,4,1,2,1,1,2, , ,14.88,27.04, ,50.76,80.47,17.61,27.32, ,52.07,89.71,4,1,30.04,13, ,1,0,1
13291,3072,2,4,1,2,1,1,1, ,.09,10.7,24.23, ,52.91,73.64,22.67,27.84, ,54.32,90.79,4,1,23.57,7.86,1,1,0,1
13340,3077,1,4,1,2,1,1,2, ,.75,22.59,34.94, ,74.08,110.93,35.13,41.49, ,79.77,112.57,4,1,-9,-9,1,1,1,1
13350,3077,2,4,2,2,1,1,2, ,.55,16.43,29.33, ,54.23,94.87,25.69,33.81, ,70.51,121.14,4,1,-9,-9,1,1,0,1
13383,3082,1,4,1,2,1,1,2, ,.67,20.67,39.95, ,67.81,90.36,19.52,51.39, ,73.7,105.35,4,1,36.43,12.64,1,1,0,1
13514,3107,2,4,1,1,2,2,2, , ,22.77,29.37, ,53.5,85.92,33.93,62.38, ,76.54,101.82,4,4,-9,-9, ,2,0,1
13516,3107,2,4,2,2,2,2,2, , ,28.15,29.98, ,50.52,88.86,39.69,54.93, ,81.27,97.45,4,4,-9,-9, ,2,0,1
13559,3113,1,4,1,2,1,1,2,1.4, ,19.4,26.92,37.58,50.2,73.96,20.13,47.69,54.8,88.29,96.49, , , , , ,1,0,1
13561,3113,1,4,2,2,1,1,2, ,.43,14.37,23.56,37.16,46.76,97.46,22.91,46.75,46.6,61.17,119.39, , , , ,1,1,0,1
3872,4068,2,4,1,2,2,2,2, ,.43, , , , ,109.49, , , , ,134.88, , , , ,1,2,1,1
9697,4127,1,4,2,2,1,1,1, , ,24.05,34.3, ,61.12,81.86,31.66,37.55, ,56.04,109.82, , , , , ,1,0,1
3519,4136,1,4,2,1,5,2,2,2.6, , , , , , , , , , , , , , , , ,5, ,1
7716,4218,2,4,1,2,1,1,2, , ,26.14, , ,54.27,76.99,28.3, , ,96.95,123.01, , , , , ,1,0,1
8389,4322,1,4,1,2,2,2,1, , ,17.32,25.65, ,55.56,78.77,22.65,34.13, ,81.64,104.76, , , , , ,2,0,1
1585,4431,1,4,2,1,2,2,2,3.4, ,21.28,29.09, ,43.61,59.95,25.68,38.02, ,65.45,98.98, , , , , ,2,0,1
1590,4431,2,4,1,1,2,2,1,3.4, ,17.7,23.99, ,53.42,93.8,27.35,63.93, ,105.27,129.52, , , , , ,2,0,1
9087,4469,2,4,1,2,3,1,2, , ,14.73,23.89, ,51.21,74.88,15.5,22.66, ,59.23,91.84, , , , , ,4,0,1
5723,5010,1,4,1,1,1,1,2, , , ,29.38, ,58.97,104.57, ,32.59, ,77.08,115.89, , , , , ,1,1,1
3193,5017,2,4,1,2,1,1,1, ,.32,35.05,51.04,68.23,79.89,100.31,30.62,41.61,45.53,69.45,125.23, , , , ,1,1,1,1
3298,5017,2,4,1,2,1,1,2, ,.41,33.11,37.82,46.97,72.13,105.25,36.08,45.43,74.24,97.98,122.43, , , , ,1,1,1,1
4740,5029,1,4,2,2,1,1,2, ,.74,27.36,40.72, ,69.96,95.65,46.83,70.02, ,120.52,138.45, , , , ,1,1,0,1
2348,5049,1,4,2,2,1,1,1, , ,27,39.09,41.73,68.35,86.87,28.62,31.58,40.24,64.8,122.9, , , , , ,1,0,1
1697,5051,1,4,1,2,1,1,2, , ,18.49,29.39,44.32,32.83,68.56,25.95,37.41,43.83,47.4,89.63, , , , , ,1,0,1
11405,5078,1,4,2,1,3,1,2, , ,13.81,22.57,38.98,49.96,83.2, , , , ,91.37, , , , , ,4,0,1
3092,5108,2,4,1,2,1,1,2, ,.01,24.66,38.16, ,79.85,105.8,29.68,40.08, ,73.3,105.27, , , , ,1,1,1,1
12379,5146,2,4,2,2,1,1,2, ,.75,20.51,32.27, ,61.5,103.51,27.02,32.59, ,65.94,125.36, , , , ,1,1,1,1
471,5190,2,4,1,1,4,2,1,3.4, ,10.16,14.71,22.09,40.76,66.21, , ,22.7,41.8,89.31, , , , , ,4,0,1
487,5190,2,4,2,2,5,2,2,2.6,.02, ,16.55,20.26,46.93,72.61, ,35.1,35.71,53.27,89.85, , , , ,1,5,0,1
10669,5201,1,4,1,2,4,2,2, , ,16.93,26.87, ,47.35,98.83,17.92,38.3, ,48.49,99.82, , , , , ,4,0,1
3115,5206,1,4,1,2,3,2,2,1.4, ,26.18,28.91,38.63,36.43,63.9,36.08,41.9,44.99,70.55,123.36, , , , , ,4,0,1
806,5213,1,4,1,1,2,2,2, , ,16.67,24.59,27.68,34.62,54.63,22.19,30.19,34.18,43.18,53.98, , , , , ,2,0,1
346,5216,2,4,1,2,1,1,2, , ,30.76,39.02,50.69,73.03,103.42,30.17,34.79,38.75,66.89,114.01, , , , , ,1,1,1
2235,5232,1,4,2,2,1,1,1, , ,21.69,27.1,32.78,52.41,88.05,32.48,48.54,45.69,80.56,117.91, , , , , ,1,0,1
1673,5233,2,4,1,2,1,1,1, ,.3,20.67,28.45,52.89,56.62,100.95,25.44,40.21,46.34,80.62,111.61, , , , ,1,1,1,1
6415,5260,1,4,2,2,1,1,2, , ,20.95,35.28,33.78,56.9,94.85,33.99,42.74,46.75,105.25,132.16, , , , , ,1,0,1
4875,5287,2,4,2,2,1,1,2, ,1.02,24.01,37.87,45.26,55.81,89.23,31.74,39.87,52.93,75.77,121.29, , , , ,1,1,0,1
8867,5461,1,4,1,2,1,1,2, ,1.05,41.34,51.18, ,82.66,109.4,51.55,65.85, ,106.14,140.28, , , , ,1,1,1,1
3111,5539,1,4,1,1,3,1,2, , ,7.77, , ,41.67,87.49, , , ,56.77,96.07, , , , , ,4,0,1
414,5545,1,4,1,2,1,1, , ,.96,37.18,48.06, ,82.89,110.22,32.99,41.5, ,87.35,134.43, , , , ,1,1,1,1
5588,5552,1,4,2,2,1,1,2, ,.96,27.44,39.84,41.01,71.13,91.05,25.05,40.83,46.6,82.1,116.2, , , , ,1,1,0,1
